intervals,step_over_a,outer_radius_over_a,boundary,max_density_error_over_exterior,center_density_error_over_exterior
24,0.125,3.0,exact,3.375637771529938e-07,-3.375637771529938e-07
24,0.125,3.0,far_field,6.038217918491462e-05,4.321765161663382e-05
48,0.0625,3.0,exact,1.9871448264652258e-08,-1.9871448264652258e-08
48,0.0625,3.0,far_field,6.038217918491462e-05,4.35353602442623e-05
96,0.03125,3.0,exact,1.204686350675388e-09,-1.204686350675388e-09
96,0.03125,3.0,far_field,6.038217918491462e-05,4.355402801159425e-05
192,0.015625,3.0,exact,7.414580061038123e-11,-7.414580061038123e-11
192,0.015625,3.0,far_field,6.038217918491462e-05,4.355515861453885e-05
384,0.0078125,3.0,exact,4.5989878572072485e-12,-4.5989878572072485e-12
384,0.0078125,3.0,far_field,6.038217918491462e-05,4.355522816523738e-05
