h,speed_m_s,radius_m,r0_m,u0_m_s
0.0,1.0,0.001,0.001,1.0
0.0,1.0390875993828967,0.0009623827679147453,0.001,1.0
0.0,1.0797030391913112,0.0009261805919792464,0.001,1.0
0.0,1.121906039039717,0.0008913402416979044,0.001,1.0
0.0,1.1657586528389539,0.0008578104889590273,0.001,1.0
0.0,1.2113253600382683,0.0008255420327106896,0.001,1.0
0.0,1.258673160433787,0.0007944874264700787,0.001,1.0
0.0,1.3078716726828274,0.0007646010085597369,0.001,1.0
0.0,1.3589932366688926,0.0007358388349681255,0.001,1.0
0.0,1.4121130198678724,0.000708158614735786,0.001,1.0
0.0,1.4673091278718402,0.0006815196477720974,0.001,1.0
0.0,1.524662719232962,0.0006558827650111934,0.001,1.0
0.0,1.5842581247963778,0.0006312102708190488,0.001,1.0
0.0,1.6461829716975178,0.0006074658875670521,0.001,1.0
0.0,1.7105283122061767,0.000584614702290567,0.001,1.0
0.0,1.7773887576067942,0.0005626231153540506,0.001,1.0
0.0,1.8468626173117928,0.0005414587910472483,0.001,1.0
0.0,1.919052043412524,0.0005210906100398225,0.001,1.0
0.0,1.9940631808803622,0.0005014886236245074,0.001,1.0
0.0,2.0720063236387984,0.0004826240096815093,0.001,1.0
0.0,2.15299607673602,0.0004644690302994038,0.001,1.0
0.0,2.2371515248564258,0.0004469969909902179,0.001,1.0
0.0,2.3245964074188503,0.0004301822014387283,0.001,1.0
0.0,2.4154593005189593,0.0004139999377282618,0.001,1.0
0.0,2.509873805983336,0.0003984264059874568,0.001,1.0
0.0,2.607978747813238,0.0003834387074045328,0.001,1.0
0.0,2.7099183763068706,0.0003690148045576264,0.001,1.0
0.0,2.8158425801603038,0.0003551334890116872,0.001,1.0
0.0,2.9259071068589115,0.00034177435013428825,0.001,1.0
0.0,3.0402737916833824,0.0003289177450844996,0.001,1.0
0.0,3.159110795667023,0.00031654476993069736,0.001,1.0
0.0,3.28259285285424,0.0003046372318548407,0.001,1.0
0.0,3.410901527223766,0.0002931776224023476,0.001,1.0
0.0,3.5442254796543984,0.0002821490917382354,0.001,1.0
0.0,3.6827607453257842,0.00027153542387167435,0.001,1.0
