eta,Pi0_over_P_squared,first_eta_derivative,second_eta_derivative,initial_branch_only
-1.0,-0.8286556824486642,-1.6573113648973283,-3.3146227297946567,-0.625
-0.98,-0.862471427686541,-1.7245908980469498,-3.4129304069424102,-0.6505049729596012
-0.96,-0.8976522505364581,-1.7938096596898416,-3.5083964600685125,-0.6770395333891199
-0.94,-0.934236305866885,-1.8649015237096453,-3.600073991428572,-0.704632458974269
-0.92,-0.9722602295279457,-1.9377803534785747,-3.686907838545249,-0.7333113817060094
-0.9,-1.0117587160937263,-2.0123377778659752,-3.7677288044758894,-0.7631024693995909
-0.88,-1.0527640510147223,-2.0884408586405674,-3.8412486077340557,-0.7940300728281842
-0.86,-1.095305595169189,-2.1659296662347725,-3.906055815759181,-0.826116336954164
-0.84,-1.139409220196873,-2.2446147865041586,-3.9606130647241247,-0.8593807750388083
-0.8200000000000001,-1.1850966935144642,-2.3242747875672345,-4.003255908139762,-0.8938398048002599
-0.8,-1.2323850125649376,-2.4046536830535366,-4.032193675851968,-0.9295062462819749
-0.78,-1.2812856886583315,-2.4854584360942513,-4.045512761929726,-0.9663887817013402
-0.76,-1.3318039817341747,-2.566356557094252,-4.041182792477871,-1.0044913782817457
-0.74,-1.3839380885285826,-2.646973857614761,-4.0170661499710585,-1.0438126759408892
-0.72,-1.437678287972185,-2.726892432402458,-3.9709313462130393,-1.0843453427211385
-0.7,-1.493006049184567,-2.8056489514877767,-3.9004707379264394,-1.1260754020089185
-0.6799999999999999,-1.5498931091674342,-2.8827333540313327,-3.803323063305594,-1.1689815368998657
-0.6599999999999999,-1.6083005292258687,-2.9575880448288476,-3.677101240330704,-1.213034378519983
-0.64,-1.668177741249609,-3.0296077026099595,-3.519425803791012,-1.2581957866988938
-0.62,-1.7294615972386413,-3.0981398159143527,-3.327964263397015,-1.3044181330900533
-0.6,-1.7920754378215056,-3.1624860667438344,-3.1004765360233666,-1.3516435986159172
-0.5800000000000001,-1.855928197938808,-3.221904683641152,-2.834866437680318,-1.3998034989443466
-0.56,-1.9209135702813889,-3.275613883549262,-2.5292390130937634,-1.448817653525527
-0.54,-1.9869092493993499,-3.322796514944716,-2.181963232288233,-1.4985938154735636
-0.52,-2.053776281535378,-3.362606002513844,-1.7917392960498115,-1.5490271811888914
-0.5,-2.12135854706858,-3.3941736753097285,-1.3576694701238923,-1.6
-0.48,-2.1894824038549,-3.4166175352742263,-0.8793310193190599,-1.6513813051587778
