stage,eta,log10_normalized_pressure_magnitude,normalized_magnitude_decimal
initial power,0,0.39794000867203755,2.499999999999999837
initial slope transition,0,-0.31924516696148597,0.47946270699651226247
axial decrease interval,0,-0.4747478006099361,0.33516001361450210865
intermediate slope transition,0,-8.227438570884246,5.9232686307808999144e-9
reserved intermediate interval,0,-8.486732608537045,3.260373776918130114e-9
axial pulse interval,0,-114.5024608791046,3.14440965337822012e-115
remove eta dependence,0,-408.08553064570265,8.2123860063156575618e-409
uniform angular correction interval,0,-453.8542167549689,1.3988889673619471986e-454
release to steep slope,0,-507.11081261775473,7.7479602194795396935e-508
steep power interval,0,-508.1994436591182,6.3176613278627910473e-509
release to heat exponent,0,-616.1815024583544,6.584117029470111472e-617
wait for terminal Q target,0,-616.5909113695085,2.5650074478993650572e-617
terminal smooth factor,0,-628.4487979406964,3.5579681764513341091e-629
infinite exterior power,0,-629.7295023256618,1.8642221952519555302e-630
