stage,start_log_X_over_XR,end_log_X_over_XR,log_c_over_P_start,log_c_over_P_end,kind
initial slope transition,0.0,1.0,0.0,-0.2,slope
axial decrease interval,1.0,18.389056098930652,-0.2,-8.894528049465325,power
intermediate slope transition,18.389056098930652,19.389056098930652,-8.894528049465325,-9.404528049465325,slope
reserved intermediate interval,19.389056098930652,254.11043642461942,-9.404528049465325,-131.45964581882347,power
axial pulse interval,254.11043642461942,904.1104364246194,-131.45964581882347,-469.45964581882345,power
remove eta dependence,904.1104364246194,1004.1104364246194,-469.45964581882345,-522.1527929993833,interpolation
uniform angular correction interval,1004.1104364246194,1121.4711265874637,-522.1527929993833,-583.1803518840625,power
release to steep slope,1121.4711265874637,1122.4711265874637,-583.1803518840625,-584.1903518840625,slope
steep power interval,1122.4711265874637,1205.3641899352492,-584.1903518840625,-708.5299469057409,power
release to heat exponent,1205.3641899352492,1206.3641899352492,-708.5299469057409,-709.5299469062409,slope
wait for terminal Q target,1206.3641899352492,1233.6169135533503,-709.5299469062409,-723.1563087425442,power
terminal smooth factor,1233.6169135533503,1236.6169135533503,-723.1563087425442,-724.6563087455341,terminal
