group,eta_decimal,eta_float,primitive,log_g_over_Lambda
global,-1.0,-1.0,-1.447782923977702,-13334.820358610486
global,-0.875,-0.875,-1.3004561228991935,-13334.673031809409
global,-0.75,-0.75,-1.2160442382957468,-13334.588619924805
global,-0.625,-0.625,-1.1454880463883064,-13334.518063732898
global,-0.5,-0.5,-1.075907943580699,-13334.44848363009
global,-0.375,-0.375,-0.9981127642765896,-13334.370688450786
global,-0.25,-0.25,-0.8980816998983072,-13334.270657386407
global,-0.125,-0.125,-0.735092231914373,-13334.107667918424
global,0.0,0.0,0.0,-13333.37257568651
global,0.125,0.125,-0.7507089555527153,-13334.123284642063
global,0.25,0.25,-0.9055937218726381,-13334.278169408382
global,0.375,0.375,-1.0027826919745966,-13334.375358378484
global,0.5,0.5,-1.0790357765680365,-13334.451611463077
global,0.625,0.625,-1.1475727481548594,-13334.520148434663
global,0.75,0.75,-1.217304047737681,-13334.589879734247
global,0.875,0.875,-1.300967982765158,-13334.673543669274
global,1.0,1.0,-1.4476684947264784,-13334.820244181235
chi,-0.0051555551664089307725335434309941888645473123500943014826238596921684064447182296,-0.005155555166408931,0.4071302361985353,-13332.96544545031
chi,-0.0047999949285510029784260746910491804060472835958301631330206816559807948858470684,-0.004799994928551003,0.5608408580361579,-13332.811734828472
chi,-0.004666659839354280055635773913569802234109772812981111251919489892410440551270383,-0.00466665983935428,0.6646152884033237,-13332.707960398106
chi,-0.0045333247501575571328454731360904240621722620301320593708182981288400862166936976,-0.004533324750157557,0.862607789301051,-13332.509967897207
chi,-0.0044888797204253161585820395435972980048597584358490420771179008743166347718348025,-0.004488879720425316,0.9985846794699345,-13332.37399100704
chi,-0.0044666572055591956714503227473507349762035066387075334302677022470549090494053549,-0.004466657205559195,1.1003961109482663,-13332.27217957556
chi,-0.0044499903194096053061015351501658127047113177908514019451300532766086147575832692,-0.0044499903194096056,1.170677318349421,-13332.20189836816
chi,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,-0.004444434690693075,1.1774134759765944,-13332.195162210533
chi,-0.0044388790619765450625356767520425311903831918922806476217049539629777518963685454,-0.004438879061976545,1.1706773180082504,-13332.201898368501
chi,-0.0044222121758269546971868891548576089188910030444245161365673049925314576045464598,-0.004422212175826955,1.1003961057686504,-13332.272179580741
chi,-0.0043999896609608342100551723586110458902347512472830074897171063652697318821170122,-0.004399989660960834,0.9985846930563448,-13332.373990993452
chi,-0.004355544631228593235791738766117919832922247652999990196016709110746280437258117,-0.004355544631228593,0.8626079051650325,-13332.509967781345
chi,-0.0042222095420318703130014379886385416609847368701509383149155173471759261026814316,-0.00422220954203187,0.6646158120073401,-13332.707959874502
chi,-0.0040888744528351473902111372111591634890472260873018864338143255836055717681047462,-0.004088874452835147,0.5608418124740145,-13332.811733874036
chi,-0.0037333142149772195961036684712141550305471973330377480842111475474179602092335851,-0.00373331421497722,0.40713235439939827,-13332.96544333211
critical,-0.0044444346906930751843193915963471216577431138354186017335736611280421693321030904,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843189987737256468026451843384923132584955823739176763295394989,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843188023624149093750962195900291690209565429968554298282577031,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843186452333663194330570477912586536309253114952056326272322665,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843186255922352456903021513164123392071714075574994079771040869,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843186157716697088189247030789891819952944555886462956520399971,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843186010408214035118585307228544461774790276353666271644438624,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843185961305386350761698066041428675715405516509400710019118175,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843185928570167894523786332670733980179079993177433284771507168,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843185863099730982047923583667197103596635996820869586768477277,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843185666688420244620374618918733959359096957443807340267195482,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843185077454488032337727724673344526646479839312620600763350094,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843184095397934345199982900931028805458784642427309368256941116,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843183113341380658062238077188713084271089445541998135750532137,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843182131284826970924493253446397363083394248656686903244123158,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843181149228273283786748429704081641895699051771375670737714179,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.00444443469069307518431801671717195966490036059617659207080038548860644382313052,-0.004444434690693075,1.1774134759765944,-13332.195162210533
critical,-0.0044444346906930751843178203058612222373513958477134478332613461115441973218487243,-0.004444434690693075,1.1774134759765944,-13332.195162210533
