Lambda_over_P_squared,scaled_offset,eta_decimal,eta_offset_decimal,scaled_p1,Sq_margin,leading_relative_max
1e+16,-40,-0.0044444346906931537488429009221237578469325125365816405342424022203059016329682782,-7.8564524294971019585899385257695015615750824898601e-17,2424755209.66582,117325781.17389238,3.408911456880766e-69
1e+16,-20,-0.0044444346906931144665807534366139648972398836890738326588299529200495424799720928,-3.92822621474855097929496926288475078078754124493e-17,625742910.5654027,43997023.40521661,8.464471969205502e-69
1e+16,-10,-0.004444434690693094825449679693859068422393569265319928721123728269921362903474,-1.964113107374275489647484631442375390393770622465e-17,166212783.96575785,18332045.094642576,1.2206844059706842e-68
1e+16,-2,-0.0044444346906930791125448206996551512425165177263168055709587485498188192422755259,-3.92822621474855097929496926288475078078754124493e-18,9777173.70231261,3079774.7215899983,1.148271638245098e-68
1e+16,-1,-0.0044444346906930771484317133253796615950318862839414151771881260848060012846257166,-1.964113107374275489647484631442375390393770622465e-18,3422003.1078988686,1503222.9421713415,2.4570674365798577e-68
1e+16,-0.5,-0.004444434690693076166375159638241916771289570562753719980302814852299592305800812,-9.8205655368713774482374231572118769519688531123251e-19,1344357.868068408,742445.5538964227,9.907325944630786e-68
1e+16,0,-0.0044444346906930751843186059511041719475472548415660247834175036197931833269759073,-1.0180359315333929802231877283975225883292100441559e-99,5.999822220612612,0.4999111103061881,1.083366229177046e-81
1e+16,0.25,-0.004444434690693074693290329107535299535676096980972177184974848003539978837563455,4.9102827684356887241187115786059384759844265561625e-19,-397184.91995677067,-364347.40172294347,3.3724758216577707e-68
1e+16,0.5,-0.0044444346906930742022620522639664271238049391203783295865321923872867743481510027,9.8205655368713774482374231572118769519688531123251e-19,-611052.4968396937,-724112.2197845957,4.439546217932004e-68
1e+16,0.6666666666666666,-0.0044444346906930738749098677015873097900979921650150743532125181348106642732508655,1.309408738249516862157449262676550950430204985485e-18,-651784.5798193823,-961409.274285474,1.531030262660527e-67
1e+16,1,-0.004444434690693073220205498576828682300062623399190634389646881154780365369326098,1.964113107374275489647484631442375390393770622465e-18,-488817.62191733497,-1429892.6051906953,1.453558167844259e-67
1e+16,2,-0.0044444346906930712560923912025531926525779919568152439958762586897675474116762888,3.92822621474855097929496926288475078078754124493e-18,1955532.2426802018,-2786456.373134075,3.857447473978526e-63
1e+16,5,-0.004444434690693065363753069079726723710124097629689072814564391294729093538726861,9.8205655368713774482374231572118769519688531123251e-18,26887622.754495367,-6416171.654013661,4.3495469780090455e-68
1e+16,10,-0.0044444346906930555431875322083492754727009404178121208457112789696650037504778146,1.964113107374275489647484631442375390393770622465e-17,127104576.66759582,-10999110.37897779,2.280307064390754e-68
1e+16,15,-0.0044444346906930457226219953369718272352777832059351688768581666446009139622287682,2.9461696610614132344712269471635630855906559336975e-17,300650867.7391236,-13748815.674981277,6.350730103226918e-69
