radial_degree,eta,Y,Phi_error_vs_reference,U_error_vs_reference,angular_relative,axial_relative,pressure_relative
4,0.2,4.1,0.00037348287807918576,5.1968998119283964e-08,0.006919663767325583,1.4419830875119087e-06,0.3471254275323941
6,0.2,4.1,2.786234698388649e-06,6.946263195955318e-12,0.00017471136197454398,3.772651046395237e-10,0.017495215751390805
8,0.2,4.1,9.766080226330697e-08,1.4925942212301733e-15,7.568329959522855e-06,1.342701026850802e-13,0.002314960384456418
10,0.2,4.1,1.0407137200272755e-09,7.15289019611207e-19,1.1302932097688773e-07,9.588159646550382e-17,9.192478907584074e-05
12,0.2,4.1,6.56994489860499e-12,8.336677180060254e-23,9.659161103610885e-10,1.5629370600038925e-20,2.1558963858850744e-06
14,0.2,4.1,2.847148682877897e-14,3.269162581296851e-26,5.467289799253794e-12,8.147720040001838e-24,3.4770172038947026e-08
16,0.2,4.1,9.055451715447103e-17,1.252702180652776e-30,2.2045651153609348e-14,4.0232388547925185e-28,4.1548943629383047e-10
18,0.2,4.1,2.193502387231132e-19,1.674399388932366e-33,6.607602947231761e-17,6.6948737770566615e-31,3.850803043536479e-12
20,0.2,4.1,4.129133738861278e-22,5.261041520460028e-38,1.5086180464216734e-19,2.5612466607079137e-35,2.8574796205926024e-14
22,0.2,4.1,6.085589931212595e-25,7.79184935565806e-41,2.6492614634014165e-22,4.565304620944678e-38,1.7386224795277881e-16
