eta,Y,X,Phi,U,Pi,F_decimal,pressure_increment_decimal,log10_F,V0_over_X,angular_relative,axial_relative,pressure_relative
-0.6,0.0,0.0,1.0,-2.38,-54.06574394463668,9.502352789150861280144764e-142,0.0,-141.02216884978114,-1.1319979590385305,2.4051094765663762e-83,6.646521040351602e-82,0.0
-0.6,0.06833333333333333,0.00013346354166666666,0.9830994334929596,-2.388742778148297,-54.06574394463668,9.341757643864455990676435e-142,1.18482135318291084258217e-286,-141.02957140393943,-1.1199650885816639,4.1526709484262415e-65,2.050560309437565e-77,1.3458633852630295e-61
-0.6,0.13666666666666666,0.0002669270833333333,0.9663572176600834,-2.3974839478456365,-54.06574394463668,9.1826672025483600532091e-142,2.329783307678864557040775e-286,-141.03703115506184,-1.1079326650840764,1.767869675154176e-58,8.599902808252608e-71,5.693714244956192e-55
-0.6,0.205,0.000400390625,0.949772864514461,-2.406223504398134,-54.06574394463668,9.025076828178791406391404e-142,3.435932914400857041261498e-286,-141.04454909236833,-1.0959006946149183,1.342713887795969e-54,6.43381050604246e-67,4.295013472013621e-51
-0.6,0.2733333333333333,0.0005338541666666666,0.933345879419238,-2.4149614431132065,-54.06574394463668,8.868981820541859403465951e-142,4.504297059605340661066477e-286,-141.05212623530937,-1.0838691832443073,7.642315212434267e-52,3.606516873262347e-64,2.4265585515212437e-48
-0.6,0.3416666666666667,0.0006673177083333333,0.917075761162733,-2.423697759299574,-54.06574394463668,8.714377416947345127126883e-142,5.535882708331540359936096e-286,-141.0597636348354,-1.0718381370433234,1.0517178906533662e-49,4.887381341030944e-62,3.3127086914661464e-46
-0.6,0.41,0.00080078125,0.9009620020336728,-2.43243244826727,-54.06574394463668,8.561258792943614710195232e-142,6.53167714743220365673376e-286,-141.06746237473445,-1.0598075620840042,5.896666289517365e-48,2.697938750607987e-60,1.8413014573315926e-44
-0.6,0.4783333333333333,0.0009342447916666666,0.8850040878965396,-2.4411655053276426,-54.06574394463668,8.40962106303359688397235e-142,7.492648228147125704885329e-286,-141.0752235730417,-1.0477774644393378,1.7791917559530105e-46,8.013650158431646e-59,5.5039303367655656e-43
-0.6,0.5466666666666666,0.0010677083333333333,0.8692014982670243,-2.4498969257933636,-54.06574394463668,8.259459281391765591464031e-142,8.419744608171555376010302e-286,-141.0830483835264,-1.0357478501832589,3.411147789247657e-45,1.5122465722116362e-57,1.0446227867700134e-41
-0.6,0.615,0.001201171875,0.8535537063875783,-2.458626704978432,-54.06574394463668,8.110768442582059970000386e-142,9.31389599317247647289597e-286,-141.0909379972607,-1.0237187253906423,4.625729916961304e-44,2.0181245890518781e-56,1.40120766724387e-40
-0.6,0.6833333333333333,0.0013346354166666667,0.8380601793030577,-2.467354838198181,-54.06574394463668,7.963543482276680570144816e-142,1.0176013377706547778762e-285,-141.09889364427633,-1.0116900961372983,4.773531937474055e-43,2.0491941759157833e-55,1.4290752911999135e-39
-0.6,0.7516666666666666,0.0014680989583333332,0.8227203779364519,-2.476081320769283,-54.06574394463668,7.817779277975694724657034e-142,1.100698928549435601217511e-285,-141.10691659531466,-0.9996619684999665,3.949530485783793e-42,1.667988332626605e-54,1.1674984534632613e-38
-0.6,0.82,0.0016015625,0.8075337571646927,-2.484806148009755,-54.06574394463668,7.673470649727391809846132e-142,1.180769800900642301780845e-285,-141.11500816367715,-0.9876343485563104,2.7229112385615107e-41,1.131130325210614e-53,7.939849667432249e-38
-0.6,0.8883333333333333,0.0017350260416666666,0.7924997658945333,-2.4935293152389657,-54.06574394463668,7.5306123608493231992994e-142,1.257899584831728032183718e-285,-141.12316970718248,-0.9756072423849121,1.6106974327407347e-40,6.580376718730829e-53,4.628067296827637e-37
-0.6,0.9566666666666666,0.0018684895833333331,0.7776178471384946,-2.502250817777639,-54.06574394463668,7.389199118649962074696732e-142,1.332172134918475530527243e-285,-141.1314026302384,-0.9635806560652669,8.363094854012627e-40,3.359588152127166e-52,2.365164525144296e-36
-0.6,1.025,0.002001953125,0.762887438090869,-2.510970650947862,-54.06574394463668,7.249225575150924127844183e-142,1.403669554031241724536516e-285,-141.1397083860363,-0.9515545956777774,3.880836036091719e-39,1.5326736154781925e-51,1.0789179130703727e-35
-0.6,1.0933333333333333,0.0021354166666666665,0.7483079702037775,-2.519688810073089,-54.06574394463668,7.110686327809684659233753e-142,1.472472216975399855873228e-285,-141.1480884788771,-0.9395290673037483,1.6330647970603638e-38,6.33949703013963e-51,4.4570631158262204e-35
-0.6,1.1616666666666666,0.0022688802083333333,0.7338788692632715,-2.528405290478148,-54.06574394463668,6.973575920242727956079331e-142,1.538658794041943780056891e-285,-141.15654446663862,-0.9275040770253806,6.306184667752959e-38,2.4058310935287647e-50,1.6871559303859324e-34
-0.6,1.23,0.00240234375,0.7195995554654744,-2.5371200874892454,-54.06574394463668,6.837888842949070545884015e-142,1.602306274464299738866821e-285,-141.16507796339408,-0.9154796309257662,2.2568057353828225e-37,8.459761727365192e-50,5.909181071060611e-34
