lambda_value,condition_U,row_equilibrated_condition_U,condition_E,max_axial_coefficient,max_angular_coefficient,maximum_relative_moment_remainder
0.1,53.65665005785562,52.66818221607056,10937.529592732568,8.871540288773014,39.78267795528353,1.2823075934420558e-13
0.03,177.6700214921931,177.36834074316667,9055.936338357767,28.989156207860567,32.871346311400636,8.1601392309949e-14
0.01,533.8427023608253,533.7415693889054,8582.827057674163,86.55005748429136,31.134450928773084,4.0523140398818214e-14
0.003,1781.10857736079,1781.0781746413995,8423.40372559424,288.0404573034397,30.549247056085168,3.615163723935666e-13
0.001,5344.915830611359,5344.905690300148,8378.425297605354,863.7349792231138,30.384149068998884,3.975986206938842e-13
0.0001,53456.590691608515,53456.589677339754,8358.2670371823,8635.62208159636,30.310157036536438,2.419869860048607e-12
1e-05,534573.4339093465,534573.4338258252,8356.25400359946,86354.4968733375,30.30276811546661,8.720191235767061e-11
1e-06,5345741.875856805,5345741.875969138,8356.052728139075,863543.2453802581,30.302029326082746,1.2416255523728381e-09
1e-07,53457426.46574489,53457426.460659735,8356.032600872188,8635430.737709038,30.301955448171487,9.199670608639465e-09
1e-08,534574257.3717533,534574237.0404868,8356.030588148134,86354303.49112499,30.30194806039058,9.715621945849406e-08
